"day","Yeild","irr"
"87","342.4784449537166","437.3333333333004"
"88","363.1419939873552","437.3333333333004"
"89","384.6022626190263","447.99999999996464"
"90","406.71515843241514","453.33333333329676"
"91","419.47403371248106","453.33333333329676"
"92","442.49740971508163","453.33333333329676"
"93","454.8833846043657","453.33333333329676"
"94","478.8283831607307","469.3333333332955"
"95","491.77912255374","469.3333333332955"
"96","517.8866462359697","469.3333333332955"
"97","545.7219536711538","485.33333333329426"
"98","574.4661567963083","485.33333333329426"
"99","603.9892130829297","495.9999999999585"
"100","634.3039634647267","501.3333333332906"
"101","665.6383431128515","501.3333333332906"
"102","697.8532139660382","517.3333333332894"
"103","730.9029597715408","517.3333333332894"
"104","764.9313061283057","527.9999999999536"
"105","799.982345199272","533.3333333332857"
"106","836.0356405995209","533.3333333332857"
"107","873.1014994513919","549.3333333332846"
"108","911.183594983766","549.3333333332846"
"109","950.1520666640941","565.3333333332835"
"110","987.919557614787","565.3333333332835"
"111","1025.7124117664034","565.3333333332835"
"112","1063.5986818515123","565.3333333332835"
"113","1101.5994142247266","581.3333333332823"
"114","1139.7348688072334","581.3333333332823"
"115","1178.0247563394046","581.3333333332823"
"116","1216.487761000673","581.3333333332823"
"117","1255.1412016913862","581.3333333332823"
"118","1294.000805315659","597.3333333332812"
"119","1333.0411920886877","597.3333333332812"
"120","1371.986447527374","597.3333333332812"
"121","1410.499563932231","597.3333333332812"
"122","1448.6802882940328","597.3333333332812"
"123","1486.6476949346802","613.33333333328"
"124","1524.5737233532054","613.33333333328"
"125","1562.5497752702347","613.33333333328"
"126","1600.664335612789","613.33333333328"
"127","1638.9615321798492","613.33333333328"
"128","1677.4363658969537","623.9999999999443"
"129","1716.117137683725","629.3333333332764"
"130","1755.0080481746725","629.3333333332764"
"131","1794.1166388038318","629.3333333332764"
"132","1833.4156267442586","629.3333333332764"
"133","1872.9074259578547","629.3333333332764"
"134","1912.5853362079583","645.3333333332753"
"135","1952.4464669461938","645.3333333332753"
"136","1992.4727270775425","645.3333333332753"
"137","2032.6533796720444","645.3333333332753"
"138","2072.9786452833864","645.3333333332753"
"139","2113.430705281425","661.3333333332741"
"140","2154.011895513225","661.3333333332741"
"141","2194.849843897597","661.3333333332741"
"142","2249.8564411359957","661.3333333332741"
"143","2328.6908827991074","671.9999999999384"
"144","2405.565747453997","677.3333333332705"
"145","2486.5407939214892","677.3333333332705"
"146","2572.8818219999985","677.3333333332705"
"147","2660.8134171212946","693.3333333332694"
"148","2735.8331774085805","693.3333333332694"
"149","2777.622986068869","693.3333333332694"
"150","2832.372539215344","693.3333333332694"
"151","2916.65909270641","703.9999999999336"
"152","3011.978087233978","709.3333333332657"
"153","3109.5520168187777","709.3333333332657"
"154","3208.4811977575455","725.3333333332646"
"155","3308.914996080794","725.3333333332646"
"156","3409.6577563559003","741.3333333332635"
"157","3509.7619521492898","741.3333333332635"
"158","3610.1496177724484","751.9999999999277"
"159","3710.559278193904","757.3333333332598"
"160","3811.427998200904","757.3333333332598"
"161","3898.039911491489","773.3333333332587"
"162","3933.5143821535767","773.3333333332587"
"163","3988.2960542606625","773.3333333332587"
"164","4038.196913603758","773.3333333332587"
"165","4038.196913603758","773.3333333332587"
"166","4046.5205568310153","773.3333333332587"
"167","4087.8290232974655","773.3333333332587"
"168","4143.611819448048","773.3333333332587"
"169","4207.226285101163","773.3333333332587"
"170","4276.663885317728","789.3333333332575"
"171","4350.483837091617","789.3333333332575"
"172","4426.56245251667","789.3333333332575"
"173","4504.851777237675","789.3333333332575"
"174","4585.677470869498","789.3333333332575"
"175","4669.267005569103","789.3333333332575"
"176","4755.7684909629315","789.3333333332575"
"177","4845.266549049571","805.3333333332564"
"178","4937.795561064","805.3333333332564"
"179","5033.350619787492","805.3333333332564"
"180","5131.589932145322","805.3333333332564"
"181","5231.475695596381","805.3333333332564"
"182","5332.045094156737","805.3333333332564"
"183","5432.886905520221","821.3333333332553"
"184","5533.88449055419","821.3333333332553"
"185","5635.004087392976","821.3333333332553"
"186","5736.226519520624","821.3333333332553"
"187","5837.541134090233","821.3333333332553"
"188","5938.939991176467","837.3333333332456"
"189","6040.415212188104","837.3333333332456"
"190","6141.960286510659","837.3333333332456"
"191","6243.569971743101","837.3333333332456"
"192","6345.239619679578","853.3333333332359"
"193","6446.964968109622","853.3333333332359"
"194","6548.740479007072","853.3333333332359"
"195","6650.561459555132","853.3333333332359"
"196","6752.424242638701","869.3333333332263"
"197","6854.325347035998","869.3333333332263"
"198","6956.261309790688","869.3333333332263"
"199","7058.228626992492","885.3333333332166"
"200","7160.223717002668","885.3333333332166"
"201","7262.242900356309","885.3333333332166"
"202","7364.282400543423","901.333333333207"
"203","7466.338367622078","901.333333333207"
"204","7568.406613970096","901.333333333207"
"205","7670.483412984888","917.3333333331973"
"206","7772.56529766903","917.3333333331973"
"207","7874.649162588628","917.3333333331973"
"208","7976.732412918704","933.3333333331876"
"209","8078.813103821629","933.3333333331876"
"210","8180.890042782023","933.3333333331876"
"211","8282.962834836946","949.333333333178"
"212","8385.031860462404","949.333333333178"
"213","8487.098188542253","965.3333333331683"
"214","8589.16343881269","965.3333333331683"
"215","8691.229615899574","965.3333333331683"
"216","8793.298938796908","981.3333333331586"
"217","8895.373685937959","981.3333333331586"
"218","8997.456069082797","997.333333333149"
"219","9099.54814167202","997.333333333149"
"220","9201.651741023401","1013.3333333331393"
"221","9303.768459677105","1013.3333333331393"
"222","9405.899810221956","1029.3333333331295"
"223","9508.048033198993","1029.3333333331295"
"224","9610.21790374959","1045.3333333331198"
"225","9712.409845514961","1045.3333333331198"
"226","9814.623702901","1061.33333333311"
"227","9916.856067722647","1061.33333333311"
"228","10019.106158449576","1077.3333333331002"
"229","10121.373541585714","1077.3333333331002"
"230","10223.657766709313","1093.3333333330904"
"231","10325.95832762446","1093.3333333330904"
"232","10428.270821308935","1109.3333333330806"
"233","10530.55657787632","1109.3333333330806"
"234","10632.830345083512","1119.9999999997472"
"235","10735.096392107105","1119.9999999997472"
"236","10837.367140903863","1135.9999999997374"
"237","10939.682665268403","1135.9999999997374"
"238","11042.015894265667","1151.9999999997276"
"239","11144.368113524977","1151.9999999997276"
"240","11246.757458534446","1151.9999999997276"
"241","11349.32121322904","1167.9999999997178"
"242","11451.961628504523","1167.9999999997178"
"243","11554.64409649041","1178.6666666663843"
"244","11657.355572152885","1178.6666666663843"
"245","11760.090357913028","1194.6666666663746"
"246","11862.844073908978","1194.6666666663746"
"247","11965.611667832876","1194.6666666663746"
"248","12068.389528631988","1210.6666666663648"
"249","12171.173131822732","1210.6666666663648"
"250","12273.958690111967","1221.3333333330313"
"251","12376.738606904302","1221.3333333330313"
"252","12479.505426578244","1237.3333333330215"
"253","12582.251413172587","1237.3333333330215"
"254","12684.96418030911","1237.3333333330215"
"255","12787.629433031467","1253.3333333330118"
"256","12890.225825115907","1253.3333333330118"
"257","12992.723344357948","1253.3333333330118"
"258","13095.077049530235","1269.333333333002"
"259","13197.220758829673","1269.333333333002"
"260","13299.079911526027","1279.9999999996685"
"261","13400.582509029897","1279.9999999996685"
"262","13501.659747655647","1295.9999999996587"
"263","13602.245779967807","1295.9999999996587"
"264","13702.27749972779","1295.9999999996587"
"265","13801.69434807314","1311.999999999649"
"266","13900.438138832982","1311.999999999649"
"267","13998.452901121233","1311.999999999649"
"268","14095.684737557674","1327.9999999996392"
"269","14192.081696650333","1327.9999999996392"
"270","14287.593658034159","1338.6666666663057"
"271","14382.172229403093","1338.6666666663057"
"272","14475.770654098678","1354.666666666296"
"273","14568.343728429356","1354.666666666296"
"274","14659.840675547839","1354.666666666296"
"275","14750.173996347883","1370.6666666662861"
"276","14839.247241260236","1370.6666666662861"
"277","14927.046373256988","1370.6666666662861"
"278","15014.118677876688","1386.6666666662763"
"279","15100.906196545768","1386.6666666662763"
"280","15187.76028248355","1397.3333333329429"
"281","15274.959228421096","1397.3333333329429"
"282","15362.713423728037","1407.9999999996094"
"283","15451.167477624014","1407.9999999996094"
"284","15540.52303379779","1418.666666666276"
"285","15630.985918296758","1418.666666666276"
"286","15723.00930492832","1434.666666666266"
"287","15816.571156846077","1434.666666666266"
"288","15911.420061650997","1434.666666666266"
"289","16007.303437993158","1450.6666666662563"
"290","16103.975457139899","1450.6666666662563"
"291","16201.21229556709","1450.6666666662563"
"292","16298.891536808234","1466.6666666662466"
"293","16396.928934339987","1466.6666666662466"
"294","16495.125248547152","1466.6666666662466"
"295","16593.357098673554","1477.333333332913"
"296","16691.502911145057","1477.333333332913"
"297","16789.434244398835","1477.333333332913"
"298","16887.015720333024","1477.333333332913"
"299","16984.104719351293","1493.3333333329033"
"300","17080.550757805737","1493.3333333329033"
"301","17176.194418991447","1493.3333333329033"
"302","17270.865629084707","1493.3333333329033"
"303","17364.380931558804","1493.3333333329033"
"304","17456.539168012052","1493.3333333329033"
"305","17547.114527853402","1493.3333333329033"
"306","17635.845147769818","1493.3333333329033"
"307","17722.414217425012","1493.3333333329033"
"308","17806.38089117153","1493.3333333329033"
"309","17887.107477512054","1493.3333333329033"
"310","17963.919895116243","1493.3333333329033"
"311","18036.976020221406","1493.3333333329033"
"312","18108.87638811878","1493.3333333329033"
