"day","Yeild","irr"
"70","121.87716401145832","363.27111111110565"
"71","131.98846398104632","379.2711111111044"
"72","142.6315017661946","379.2711111111044"
"73","153.82562355448596","379.2711111111044"
"74","165.58154911962546","395.27111111110077"
"75","177.93856511194184","395.27111111110077"
"76","190.80369032178078","411.2711111110995"
"77","200.6621363076144","411.2711111110995"
"78","214.79361526192906","411.2711111110995"
"79","229.70336693838985","422.0399999999801"
"80","245.30124913279676","422.0399999999801"
"81","261.5960602585143","432.7185185184873"
"82","278.5607825005528","432.7185185184873"
"83","295.9051592472825","448.71851851848606"
"84","313.91285899911406","448.71851851848606"
"85","332.6433127530106","448.71851851848606"
"86","346.4580824592414","448.71851851848606"
"87","366.1643225760662","464.7185185184824"
"88","387.05909790048855","464.7185185184824"
"89","408.74728534331007","480.7185185184812"
"90","431.0944393105936","480.7185185184812"
"91","451.4637363990582","480.7185185184812"
"92","475.5294089319353","496.7185185184799"
"93","490.9241246310329","496.7185185184799"
"94","515.4410301805563","496.7185185184799"
"95","531.1257782057415","496.7185185184799"
"96","557.554362631854","512.7185185184787"
"97","585.8180525177635","512.7185185184787"
"98","614.9864692840385","512.7185185184787"
"99","644.944478494226","528.7185185184751"
"100","675.6050359983014","528.7185185184751"
"101","707.4700940618179","544.718518518474"
"102","740.1681472475009","544.718518518474"
"103","773.5703792024906","560.7185185184728"
"104","807.9360748613327","560.7185185184728"
"105","843.4836269402317","560.7185185184728"
"106","880.053144518542","576.7185185184717"
"107","917.7278891608128","576.7185185184717"
"108","956.3420900206784","592.7185185184705"
"109","996.0191610308119","592.7185185184705"
"110","1036.608756111049","592.7185185184705"
"111","1080.003876273772","603.4992592592087"
"112","1124.6045207923994","603.4992592592087"
"113","1169.608791772522","614.256296296239"
"114","1216.1976830959898","614.256296296239"
"115","1262.5846720593652","630.2562962962379"
"116","1310.0094601669089","630.2562962962379"
"117","1358.3872270616414","646.2562962962368"
"118","1394.5324885181285","646.2562962962368"
"119","1444.0841044182712","646.2562962962368"
"120","1496.3724475836893","656.9496296295658"
"121","1550.0928311319092","656.9496296295658"
"122","1604.7967972030792","667.6459259258447"
"123","1660.7494526228916","678.3511111110313"
"124","1718.053224251229","678.3511111110313"
"125","1776.5899474754174","689.0192592591886"
"126","1835.7256635300084","705.0192592591887"
"127","1896.0450216745924","705.0192592591887"
"128","1957.7745167312532","705.0192592591887"
"129","2020.8425133519356","721.0192592591851"
"130","2085.1665151866673","721.0192592591851"
"131","2150.252701637565","731.7792592591871"
"132","2218.387264357455","731.7792592591871"
"133","2286.84428928849","747.779259259186"
"134","2350.2816543152353","747.779259259186"
"135","2423.203106089687","763.7792592591861"
"136","2500.770176279758","779.7792592591862"
"137","2569.4526620823726","779.7792592591862"
"138","2619.6901141978647","779.7792592591862"
"139","2622.4401336417222","795.7792592591863"
"140","2622.4401336417222","795.7792592591863"
"141","2622.4401336417222","795.7792592591863"
"142","2622.4401336417222","795.7792592591863"
"143","2622.4401336417222","795.7792592591863"
"144","2622.4401336417222","795.7792592591863"
"145","2622.4401336417222","795.7792592591863"
"146","2622.4401336417222","795.7792592591863"
"147","2622.4401336417222","795.7792592591863"
"148","2622.4401336417222","795.7792592591863"
"149","2622.4401336417222","795.7792592591863"
"150","2622.4401336417222","795.7792592591863"
"151","2622.4401336417222","795.7792592591863"
"152","2622.4401336417222","795.7792592591863"
"153","2622.4401336417222","795.7792592591863"
